chercheur_id,nom_complet,chercheur_source_name,etablissement,laboratoire,equipe,type_membre,n_affectations,scholar_id,scholar_url,affiliation,email_domain,interests,citations_totales,h_index,i10_index,since_year,citations_since,h_index_since,i10_index_since,citations_since_2021,h_index_since_2021,i10_index_since_2021,scholar_profile_status,profile_match_confidence,match_method,collection_status,status_detail,data_source
fsbm_abdelhakim_alali,Abdelhakim Alali,ABDELHAKIM.ALALI,FSBM,Laboratoire de Traitement de l'Information,Systèmes Électroniques Intelligents,Membre Permanent(e),1,OcbnqJIAAAAJ,https://scholar.google.com/citations?user=OcbnqJIAAAAJ&hl=en,enseignant-chercheur en génie électrique,etu.univh2c.ma,systèmes embarqués; IA; électronique; électronique de puissance,103,5,2,2021,95,4,2,95,4,2,matched,1.0,manual_override,complete,profil validé manuellement (scholar_overrides.csv),google_scholar
fsbm_abdellatif_slimani,Abdellatif Slimani,ABDELLATIF.SLIMANI,FSBM,Laboratoire de Traitement de l'Information,Télécommunications et Systèmes Automatiques,Membre Permanent(e),1,PA70UmkAAAAJ,https://scholar.google.com/citations?user=PA70UmkAAAAJ&hl=en,PhD at Sidi Mohamed Ben Abdellah University,usmba.ac.ma,Numerical methods simulation; Antennas & Propagation; Microwave components design; RFID & Radar systems; Instrumentation,141,8,7,2021,79,6,2,79,6,2,matched,1.0,manual_override,complete,profil validé manuellement (scholar_overrides.csv),google_scholar
fsbm_abdelmoghit_zaarane,Abdelmoghit Zaarane,Abdelmoghit.ZAARANE,FSBM,Laboratoire de Traitement de l'Information,Systèmes Électroniques Intelligents,Membre Permanent(e),1,WyhosLcAAAAJ,https://scholar.google.com/citations?user=WyhosLcAAAAJ&hl=en,"Faculty of Sciences Ben M'sick, University Hassan II of Casablanca",univh2c.ma,Embedded Systems; Computer Vision; Advanced Driving Assistance Systems,412,8,8,2021,367,8,7,367,8,7,matched,1.0,manual_override,complete,profil validé manuellement (scholar_overrides.csv),google_scholar
fsbm_asmae_guennoun,Asmae Guennoun,ASMAE.GUENNOUN,FSBM,Laboratoire de Traitement de l'Information,"Matériaux, Energies Renouvelables et Smart Technologies",Membre Permanent(e),1,5S8wkxEAAAAJ,https://scholar.google.com/citations?user=5S8wkxEAAAAJ&hl=en,"LTI lab, Faculty of Sciences Ben M'sick, University Hassan II of Casablanca",univh2c.ma,RÉSEAUX DE NEURONES INTELLIGENCE ARTIFICIELLE,16,3,0,2021,16,3,0,16,3,0,matched,1.0,manual_override,complete,profil validé manuellement (scholar_overrides.csv),google_scholar
fsbm_aziza_elbakali,Aziza Elbakali,AZIZA.ELBAKALI,FSBM,Laboratoire de Traitement de l'Information,Systèmes Électroniques Intelligents,Membre Permanent(e),1,ADagKpAAAAAJ,https://scholar.google.com/citations?user=ADagKpAAAAAJ&hl=en,Maitre de Conférence. Université Hassan II Casa Maroc,etu.univh2c.ma,Electronique et traitement de l'information,7,2,0,2021,7,2,0,7,2,0,matched,1.0,manual_override,complete,blocked: HTTP 429 — accès limité par Google Scholar,google_scholar
fsbm_issam_atouf,Issam Atouf,ISSAM.ATOUF,FSBM,Laboratoire de Traitement de l'Information,Systèmes Électroniques Intelligents,Membre Permanent(e),1,4Rdvq2YAAAAJ,https://scholar.google.com/citations?user=4Rdvq2YAAAAJ&hl=en,University of Hassan II Casablanca,,Video Surveillance and Tracking Methods; Neural Networks and Applications; Autonomous Vehicle Technology and Safety; Advanced Neural Network Applications; Vehicle License Plate Recognition,496,11,12,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
fsbm_mohamed_talea,Mohamed Talea,MOHAMED.TALEA,FSBM,Laboratoire de Traitement de l'Information,Intelligence artificielle et Géoinformatique appliquées,Membre Permanent(e),1,3ztbunUAAAAJ,https://scholar.google.com/citations?user=3ztbunUAAAAJ&hl=en,University of Hassan II Casablanca,,Multi-Criteria Decision Making; Optimization and Mathematical Programming; Fuzzy and Soft Set Theory; Cognitive Science and Mapping; Network Security and Intrusion Detection,2737,27,74,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
fsbm_tarik_chafiq,Tarik Chafiq,TARIK.CHAFIQ,FSBM,Laboratoire de Traitement de l'Information,Intelligence artificielle et Géoinformatique appliquées,Membre Permanent(e),1,J1rNqKQAAAAJ,https://scholar.google.com/citations?user=J1rNqKQAAAAJ&hl=en,University of Hassan II Casablanca,,Blockchain Technology Applications and Security; Geological Modeling and Analysis; Online and Blended Learning; Land Use and Ecosystem Services; Geographic Information Systems Studies,218,8,7,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
fsbm_youssef_naimi,Youssef Naimi,YOUSSEF.NAIMI,FSBM,Laboratoire de Traitement de l'Information,"Matériaux, Energies Renouvelables et Smart Technologies",Membre Permanent(e),1,22H8d4UAAAAJ,https://scholar.google.com/citations?user=22H8d4UAAAAJ&hl=en,University of Hassan II Casablanca,,Corrosion Behavior and Inhibition; Electrocatalysts for Energy Conversion; Fuel Cells and Related Materials; Concrete Corrosion and Durability; Hydrogen embrittlement and corrosion behaviors in metals,495,11,12,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
fsbm_abdellah_hamdaoui,Abdellah Hamdaoui,ABDELLAH.HAMDAOUI,FSBM,Laboratoire de Physique de la Matière Condensée,"Mécanique, Ingénierie et Matériaux",Membre Permanent(e),1,GcpkTJYAAAAJ,https://scholar.google.com/citations?user=GcpkTJYAAAAJ&hl=en,University of Hassan II Casablanca,,Composite Structure Analysis and Optimization; Numerical methods in engineering; Structural Analysis and Optimization; Composite Material Mechanics; Vibration and Dynamic Analysis,132,8,4,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
