chercheur_id,article_id,raw_pub_id
fsbm_mohamed_moumou,art_00001,fsbm_mohamed_moumou::oa:W4232524659
fsbm_mohamed_moumou,art_00002,fsbm_mohamed_moumou::oa:W3166894954
fsbm_faouziya_haissen,art_00003,fsbm_faouziya_haissen::oa:W3016677184
fsbm_mohamed_moumou,art_00004,fsbm_mohamed_moumou::oa:W2028881546
fsbm_mohamed_moumou,art_00005,fsbm_mohamed_moumou::oa:W2092789123
fsbm_mohammed_berrada,art_00006,fsbm_mohammed_berrada::oa:W1980421088
fsbm_faouziya_haissen,art_00007,fsbm_faouziya_haissen::oa:W2035061083
fsbm_siham_slassi,art_00008,fsbm_siham_slassi::oa:W4230017513
fsbm_siham_slassi,art_00009,fsbm_siham_slassi::oa:W2766399983
fsbm_samir_chtita,art_00010,fsbm_samir_chtita::oa:W4200512809
fsbm_samir_chtita,art_00011,fsbm_samir_chtita::oa:W4220673652
fsbm_mostafa_oukassou,art_00012,fsbm_mostafa_oukassou::oa:W4380899111
fsbm_mohamed_moumou,art_00013,fsbm_mohamed_moumou::oa:W1997925929
fsbm_mohamed_moumou,art_00014,fsbm_mohamed_moumou::oa:W2066732369
fsbm_abdellatif_slimani,art_00015,fsbm_abdellatif_slimani::PA70UmkAAAAJ:ULOm3_A8WrAC
fsbm_mohamed_moumou,art_00016,fsbm_mohamed_moumou::oa:W74633670
fsbm_mohamed_moumou,art_00017,fsbm_mohamed_moumou::oa:W4252499224
fsbm_mohamed_moumou,art_00018,fsbm_mohamed_moumou::oa:W2034241710
fsbm_mohamed_moumou,art_00019,fsbm_mohamed_moumou::oa:W2272799787
fsbm_bouazza_braikat,art_00020,fsbm_bouazza_braikat::oa:W2598561588
fsbm_abdellah_hamdaoui,art_00021,fsbm_abdellah_hamdaoui::oa:W4407172469
fsbm_abdessamad_belangour,art_00022,fsbm_abdessamad_belangour::oa:W2755491750
fsbm_abdessamad_belangour,art_00023,fsbm_abdessamad_belangour::oa:W2982593707
fsbm_abdessamad_belangour,art_00024,fsbm_abdessamad_belangour::oa:W2981358046
fsbm_imane_agmour,art_00025,fsbm_imane_agmour::oa:W3128700294
fsbm_mohamed_ghazouani,art_00026,fsbm_mohamed_ghazouani::oa:W4388127925
fsbm_elhabib_benlahmar,art_00027,fsbm_elhabib_benlahmar::oa:W3174613144
fsbm_aziz_boutouil,art_00028,fsbm_aziz_boutouil::oa:W3008550002
fsbm_abdessamad_belangour,art_00029,fsbm_abdessamad_belangour::oa:W4400813227
fsbm_allal_labriki,art_00030,fsbm_allal_labriki::oa:W4382394728
fsbm_nawal_sael,art_00031,fsbm_nawal_sael::oa:W2782974879
fsbm_abdessamad_belangour,art_00032,fsbm_abdessamad_belangour::oa:W2783013904
fsbm_elhabib_benlahmar,art_00033,fsbm_elhabib_benlahmar::oa:W3028172775
fsbm_omar_zahour,art_00033,fsbm_omar_zahour::oa:W3028172775
fsbm_abdessamad_belangour,art_00034,fsbm_abdessamad_belangour::oa:W3082042758
fsbm_faouzia_benabbou,art_00035,fsbm_faouzia_benabbou::oa:W2994856814
fsbm_nawal_sael,art_00035,fsbm_nawal_sael::oa:W2994856814
fsbm_abdessamad_belangour,art_00036,fsbm_abdessamad_belangour::oa:W4293758249
fsbm_fouad_damiri,art_00037,fsbm_fouad_damiri::oa:W4295808718
fsbm_khalid_kandali,art_00038,fsbm_khalid_kandali::oa:W4416932325
fsbm_khalid_kandali,art_00039,fsbm_khalid_kandali::oa:W7126446293
fsbm_said_nouh,art_00039,fsbm_said_nouh::oa:W7126446293
fsbm_mohssine_bentaib,art_00040,fsbm_mohssine_bentaib::oa:W4410738345
fsbm_laila_mouakkir,art_00041,fsbm_laila_mouakkir::oa:W4313402629
fsbm_tarik_chafiq,art_00042,fsbm_tarik_chafiq::oa:W7119508904
fsbm_samir_chtita,art_00043,fsbm_samir_chtita::oa:W4296323794
fsbm_abdelmoghit_zaarane,art_00044,fsbm_abdelmoghit_zaarane::WyhosLcAAAAJ:hC7cP41nSMkC
fsbm_issam_atouf,art_00044,fsbm_issam_atouf::oa:W7135194730
fsbm_abdellah_hamdaoui,art_00045,fsbm_abdellah_hamdaoui::oa:W4391684893
fsbm_rachida_moultif,art_00046,fsbm_rachida_moultif::oa:W2807041869
fsbm_faouzia_benabbou,art_00047,fsbm_faouzia_benabbou::oa:W3008252599
fsbm_aziza_elbakali,art_00048,fsbm_aziza_elbakali::ADagKpAAAAAJ:u5HHmVD_uO8C
fsbm_abdellah_hamdaoui,art_00049,fsbm_abdellah_hamdaoui::oa:W4388808721
