chercheur_id,chercheur_source_name,nom_complet,etablissement,laboratoire,equipe,type_membre,is_duplicate_row,row_number,source_page
fsbm_abdelhak_chakli,ABDELHAK.CHAKLI,Abdelhak Chakli,FSBM,Laboratoire de Traitement de l'Information,Télécommunications et Systèmes Automatiques,Membre Permanent(e),False,1,1
fsbm_abdelhakim_alali,ABDELHAKIM.ALALI,Abdelhakim Alali,FSBM,Laboratoire de Traitement de l'Information,Systèmes Électroniques Intelligents,Membre Permanent(e),False,2,1
fsbm_abdellatif_slimani,ABDELLATIF.SLIMANI,Abdellatif Slimani,FSBM,Laboratoire de Traitement de l'Information,Télécommunications et Systèmes Automatiques,Membre Permanent(e),False,3,1
fsbm_abdelmoghit_zaarane,Abdelmoghit.ZAARANE,Abdelmoghit Zaarane,FSBM,Laboratoire de Traitement de l'Information,Systèmes Électroniques Intelligents,Membre Permanent(e),False,4,1
fsjesas_ahmed_eddaoui,AHMED.EDDAOUI,Ahmed Eddaoui,FSJESAS,Laboratoire de Traitement de l'Information,Intelligence artificielle et Géoinformatique appliquées,Membre Permanent(e),False,5,1
flshbm_amal_yalid,AMAL.YALID,Amal Yalid,FLSHBM,Laboratoire de Traitement de l'Information,Intelligence artificielle et Géoinformatique appliquées,Membre Permanent(e),False,6,1
fsbm_asmaa_drighil,ASMAA.DRIGHIL,Asmaa Drighil,FSBM,Laboratoire de Traitement de l'Information,"Matériaux, Energies Renouvelables et Smart Technologies",Membre Permanent(e),False,7,1
fsbm_asmae_guennoun,ASMAE.GUENNOUN,Asmae Guennoun,FSBM,Laboratoire de Traitement de l'Information,"Matériaux, Energies Renouvelables et Smart Technologies",Membre Permanent(e),False,8,1
fsbm_aziza_elbakali,AZIZA.ELBAKALI,Aziza Elbakali,FSBM,Laboratoire de Traitement de l'Information,Systèmes Électroniques Intelligents,Membre Permanent(e),False,9,1
fsbm_elmostafa_tace,ELMOSTAFA.TACE,Elmostafa Tace,FSBM,Laboratoire de Traitement de l'Information,"Matériaux, Energies Renouvelables et Smart Technologies",Membre Permanent(e),False,10,1
fsbm_hicham_bahri,HICHAM.BAHRI,Hicham Bahri,FSBM,Laboratoire de Traitement de l'Information,Télécommunications et Systèmes Automatiques,Membre Permanent(e),False,11,1
fsbm_issam_atouf,ISSAM.ATOUF,Issam Atouf,FSBM,Laboratoire de Traitement de l'Information,Systèmes Électroniques Intelligents,Membre Permanent(e),False,12,1
fsbm_mohamed_bour,MOHAMED.BOUR,Mohamed Bour,FSBM,Laboratoire de Traitement de l'Information,Télécommunications et Systèmes Automatiques,Membre Permanent(e),False,13,1
