chercheur_id,scholar_id,nom_complet,laboratoire,equipe
fsbm_abdelhak_chakli,,Abdelhak Chakli,Laboratoire de Traitement de l'Information,Télécommunications et Systèmes Automatiques
fsbm_abdelhakim_alali,OcbnqJIAAAAJ,Abdelhakim Alali,Laboratoire de Traitement de l'Information,Systèmes Électroniques Intelligents
fsbm_abdellatif_slimani,PA70UmkAAAAJ,Abdellatif Slimani,Laboratoire de Traitement de l'Information,Télécommunications et Systèmes Automatiques
fsbm_abdelmoghit_zaarane,WyhosLcAAAAJ,Abdelmoghit Zaarane,Laboratoire de Traitement de l'Information,Systèmes Électroniques Intelligents
fsbm_asmaa_drighil,,Asmaa Drighil,Laboratoire de Traitement de l'Information,"Matériaux, Energies Renouvelables et Smart Technologies"
fsbm_asmae_guennoun,5S8wkxEAAAAJ,Asmae Guennoun,Laboratoire de Traitement de l'Information,"Matériaux, Energies Renouvelables et Smart Technologies"
fsbm_aziza_elbakali,ADagKpAAAAAJ,Aziza Elbakali,Laboratoire de Traitement de l'Information,Systèmes Électroniques Intelligents
fsbm_elmostafa_tace,,Elmostafa Tace,Laboratoire de Traitement de l'Information,"Matériaux, Energies Renouvelables et Smart Technologies"
fsbm_hicham_bahri,,Hicham Bahri,Laboratoire de Traitement de l'Information,Télécommunications et Systèmes Automatiques
fsbm_issam_atouf,4Rdvq2YAAAAJ,Issam Atouf,Laboratoire de Traitement de l'Information,Systèmes Électroniques Intelligents
fsbm_mohamed_bour,,Mohamed Bour,Laboratoire de Traitement de l'Information,Télécommunications et Systèmes Automatiques
fsbm_mohamed_talea,3ztbunUAAAAJ,Mohamed Talea,Laboratoire de Traitement de l'Information,Intelligence artificielle et Géoinformatique appliquées
fsbm_mourad_elhabchi,,Mourad Elhabchi,Laboratoire de Traitement de l'Information,Télécommunications et Systèmes Automatiques
fsbm_tarik_chafiq,J1rNqKQAAAAJ,Tarik Chafiq,Laboratoire de Traitement de l'Information,Intelligence artificielle et Géoinformatique appliquées
