row,article_id,embedding_source,text_sha256,model,dimension
0,art_00001,title_abstract,e1c3601f976f42ac53b8722b4891336ff263290343e17de61fd9570606abf11b,zembed-1,2560
1,art_00002,title_abstract,cc7eca0aa448c3894124a1aa507dbfd65262e6c4ff434962ca5566a3aab4d307,zembed-1,2560
2,art_00003,title_abstract,c1000256fdaadcde4346b3fdee83bd87e9089bc36207564ba008903cb183697b,zembed-1,2560
3,art_00004,title_abstract,a789f493e008be4085b152a7db676b5408a7921f34bf37e66fdf780950bfe878,zembed-1,2560
4,art_00005,title_abstract,f609ebbe496abfe03ddec6adc84c098595996e35736d0a64b12f097b1b42a8c5,zembed-1,2560
5,art_00006,title_only,ad578952f17f3ac068e508111fcd707b07a1d886e4d25b50e2b3c8b602923ec1,zembed-1,2560
6,art_00007,title_only,f229708d7c77bf4e87479d67a6fd81c6b90c360ce906f0082dd8d1d9a84cf823,zembed-1,2560
7,art_00008,title_abstract,8c456d71506f0853c13c71a7beb3f157cfe2169d74f8ecfffa882f142ee367a8,zembed-1,2560
8,art_00009,title_abstract,2dfa68f65ac06948d4efa155c8e05302fce9b03f65aba93f806678dd7ce0114a,zembed-1,2560
9,art_00010,title_abstract,1ca5683345a354467b2b01c29956815427dafe4b06bd24b16da69c3ce2ce091a,zembed-1,2560
10,art_00011,title_abstract,7e2b5f3b348da5c227b9229d5a0deed4c051e6ee688d7a2787105f225f57f7a7,zembed-1,2560
11,art_00012,title_only,2396ed5c064eadbe6550932c0b77a4961996844f55741be8737afa34003f1035,zembed-1,2560
12,art_00013,title_abstract,23b2d7b7af90a19076162c700d6c97621d268deff7d086e929650a2144314dda,zembed-1,2560
13,art_00014,title_abstract,4c112d7dee89c705417d3a9f361738b9ad4a7ed75bd0db6c3d00c92ae972c9c5,zembed-1,2560
14,art_00015,title_abstract,178dc751b95f6ba05b6f8fe10d7940406e54d3daaf6f33b49318e604ee7876a4,zembed-1,2560
15,art_00016,title_abstract,95fbb947c70fac0f2ff89274cbf78e9016d0f07588add9f4d34f411bf113cbb8,zembed-1,2560
16,art_00017,title_abstract,5d98b3cff665ae904d3f38dd9a8727e5b6d2fd004303c46b9653c3becdacede1,zembed-1,2560
17,art_00018,title_abstract,c6bda7c78fcfe75757343f5bfe592529f455c8abbb625dc9eb42a33cc07e6acf,zembed-1,2560
18,art_00019,title_abstract,0eac4a1e3a5041f605a6324ab36ecdd977bec4b2576e5e2a6e2cc26b710689d6,zembed-1,2560
19,art_00020,title_only,746b9b2cdd438f886155e476c65565dd72608db406662e69ecf0d65a9d977373,zembed-1,2560
20,art_00021,title_only,a39f6cf0e7ae0df913af07c63b7abaf8df64798d90e37878410f0af6f0012932,zembed-1,2560
21,art_00022,title_only,baf3daaa720a7b28ecf8406d5df5cb42db6f525156a961a55479df3ad2244248,zembed-1,2560
22,art_00023,title_abstract,20aaa725fb115d412f82346861dce4c7d233c94483b03ee340cd6a679b63c170,zembed-1,2560
23,art_00024,title_abstract,49ed2d97c4fceab1f924f28bc4ceba4641192d1b5445e15df300ef19bb223613,zembed-1,2560
24,art_00025,title_abstract,97613cb5922f7448a177954694aa9ff6417319486d7fa5ac4771f1aa85f0e452,zembed-1,2560
25,art_00026,title_abstract,1139a8a0201cd953cc1b00e2a3d7b9cea2eb5cdb2a8129bd84719af3d2ca8901,zembed-1,2560
26,art_00027,title_only,4619699d0f931f60512ec283acd5f1934233b692b3bf94ee5a9919e110bbe9ab,zembed-1,2560
27,art_00028,title_abstract,3d7e87d093cefeb6e7122563d58cdcd458d168b44512962f1233fc1be7993575,zembed-1,2560
28,art_00029,title_abstract,33fb8d379fd3e6d738bd0ee0691d15746cc88186624e88a85924996a1607ccb8,zembed-1,2560
29,art_00030,title_abstract,16361aaaa35a66990622914482cab7acc544136dcc558a0c394be46e4eaabb6e,zembed-1,2560
30,art_00031,title_only,65c124a2e03037b91ecf7ef74e9d2514559f34b5d9a9a22fa3eb68526fd001f7,zembed-1,2560
31,art_00032,title_only,3e3586d5141fe57a432e6a935e52a843fc812102695db4afd81a87283f48e14e,zembed-1,2560
32,art_00033,title_abstract,e01f01b9d5331290eeb3b9cb709c0cf3da67428e55dfae570200b531f79ee146,zembed-1,2560
33,art_00034,title_abstract,5987eaff3589cdff279cdd78187f8326a55da86ec50ca388bc9ae8a0079675da,zembed-1,2560
34,art_00035,title_abstract,4d414b58e1725c95ca6b9a61adaf37f3d3f9eb937fe9660ed7af1d32e519319b,zembed-1,2560
35,art_00036,title_only,dd05352b2a313ba61733abe1acedb42b7f072b17fb44261afbf06dd78db2729d,zembed-1,2560
36,art_00037,title_abstract,e607a210971918331e7db5b3f024f99adb34896770313f9026535536a700edc8,zembed-1,2560
37,art_00038,title_abstract,d5102d48b811b64ea09a53c052c0d686909c82b500b652db7457856ede9281a1,zembed-1,2560
38,art_00039,title_abstract,d54514c1b9b915dd77f0fb4b78f6d5767c5ad39b69ed62a1c705735966c81629,zembed-1,2560
39,art_00040,title_abstract,8db59adb4d2664079d77ea1b5a6cd0f60112e23e36639bbfb78be3b992be0650,zembed-1,2560
40,art_00041,title_only,4e078e652e8282004407c94b110ad5874a3e7654af7703eba03f6b189b3a7e80,zembed-1,2560
41,art_00042,title_abstract,91096abb760f0465d929d42420b2d6276378f9b8c6867906521a0521fc6baf6e,zembed-1,2560
42,art_00043,title_abstract,e3c2d39bd5c3d0c06e4389713717d1acc6c50258506fb3c1e41e12bbae8a334c,zembed-1,2560
43,art_00044,title_abstract,4aee0f3ae56f61eb3484cb2f1c4ed7192b3fb6061041e4a14e80ca0b43600eef,zembed-1,2560
44,art_00045,title_abstract,fc4c71ab16cba18019cb4b2f812518da79dc4c7943f8f0f71d7f07a9bcf30006,zembed-1,2560
45,art_00046,title_only,b9fdd3395b0ce3fca940f290fe4ee14810bf5624506f82df71e06ca588fc9ce7,zembed-1,2560
46,art_00047,title_abstract,8bd76ddc9f70e8f0ea3deadf3b75d77e11b2a6afddbca170142117cec631384c,zembed-1,2560
47,art_00048,title_abstract,e5ad3fa229a86e4b8c480d4a2674a27622dccb09d13265fea6982a30592e3709,zembed-1,2560
48,art_00049,title_only,d5bfec046f7d48ce4acdf4b3416d6ce02513e825c187c8acee69fc1a40542a01,zembed-1,2560
49,art_00050,title_abstract,7f1d7209340db66bb20c3de1e3072c00e4cc8ad3aeb198438ebef4172b74ca5d,zembed-1,2560
50,art_00051,title_only,7a839949164e53de8f6edde9371a1379b99ee9d9e0510db2e929a2eff65484d3,zembed-1,2560
51,art_00052,title_only,b303fffdb20625636962f49d67f73a8376671e692642eafdde610fbae4320f8f,zembed-1,2560
52,art_00053,title_abstract,3f9eb0629b0c998879f9b8f906c8baf4601b7fe6b14bb16f53c87b95ec92b497,zembed-1,2560
53,art_00054,title_abstract,a4e5e037d548afb75da0a2cea03efc7d24d62abbecb0395ed3b960adadbfbe36,zembed-1,2560
54,art_00055,title_abstract,7298e15ee8f1c62f379ba0f30b87cb18ca7530b2df94a245327566bf54568692,zembed-1,2560
55,art_00056,title_abstract,692db8aaa26bd2824d798d7acffccc1d39c4e66bcab238aa21f32bb57fff3dea,zembed-1,2560
56,art_00057,title_abstract,64c9f8f743a1ac978033f493dc8c4355d0b08c92bf6c366190bd24f0ff502a91,zembed-1,2560
57,art_00058,title_abstract,0a315bff9dd6d355323efcd0d713519b6d45c1c5972d0c88947f272a55dcf385,zembed-1,2560
58,art_00059,title_only,e2a6e6bd913d6db55df62a99b3693b03204b1270a225e622b24527cf4f63baab,zembed-1,2560
59,art_00060,title_abstract,f840140060bf0c97427e075f61674b7d868a04d48b954c355edea66b976badb4,zembed-1,2560
60,art_00061,title_abstract,7bc122b7bf46370631ab17452b242f2c4fbc2dc99f3d0bab6178f4c1712b72d1,zembed-1,2560
61,art_00062,title_only,e5b46f5a4eedb8d4ef799450a92ba1f6de57c70c4236fded3a38f70ab5613bd0,zembed-1,2560
62,art_00063,title_abstract,f3995017d4b53fd94b10bac4fb79bbdfe608a77979f21bbbfa1283008c20a791,zembed-1,2560
63,art_00064,title_abstract,1d9ed3559a7ea7232845301d03db2aadfdb895cfd8d1dfd358e7369af03c59af,zembed-1,2560
64,art_00065,title_abstract,a4e9e3ab39e320675ebda0a2b37696db4d0499bbee7936f0ace692e4c38037ce,zembed-1,2560
65,art_00066,title_abstract,16e89f44a30eedffff84cd3fb6bf306abe747ae6d6140c44de07a76b1c645a62,zembed-1,2560
66,art_00067,title_abstract,606bf3d43e80d7eeb6309a5bc013501c1c252bedc679623faade3a97a9d74ffb,zembed-1,2560
67,art_00068,title_abstract,66e21e235b099a1aad4d10aeee5a755717d3d90af94adea4f4c5a86f2523c248,zembed-1,2560
68,art_00069,title_abstract,64e5b2f25c6ad1101842d40807698e312d626824ad29edb213038f665e6dd81f,zembed-1,2560
69,art_00070,title_abstract,18b9540b513112d7b6d989c205a5b8eaf60e5a4f1e3d708ce106bafdc374149b,zembed-1,2560
70,art_00071,title_abstract,d4408efc807f14824705b79c28af9d28150dbe0e65489a048d1c52f5112dbdf9,zembed-1,2560
71,art_00072,title_abstract,7f5680a57092218e81fad9a5d5a2ce92153d4363eb03ddbe330ab5b3efbc9e94,zembed-1,2560
72,art_00073,title_only,17296b211afd24e60545a796aeb78fcb0da16d2b24b7a2fbcda34972bb5a33e6,zembed-1,2560
73,art_00074,title_abstract,adcc3e1f8ecc81c8f5e10afc8504e183fdb76745a6590d9517640ab394fcf484,zembed-1,2560
74,art_00075,title_abstract,d1d9178d1035ae79df1c8ed76ccb9156c546b84b6dcc71c9271f2962fae2dfaf,zembed-1,2560
75,art_00076,title_abstract,346c43e1d117d0613355ffa2655152867abaf1c25ef9081ccda0f04cdc49a7ee,zembed-1,2560
76,art_00077,title_abstract,0595f870d2f03a1ebfee8824668a64710e0ec0db6f74cda6ece93a0690e54ea6,zembed-1,2560
77,art_00078,title_only,865c4de85b198b5efdd731c69fd4cb845e1470e25f931e462a19dc61b73ee330,zembed-1,2560
78,art_00079,title_abstract,908091562f57a498caec5f66fc4946e127d821d3befbb800fb737440441ce6e1,zembed-1,2560
79,art_00080,title_only,9c0552e76964d3997863f3a6a24f55889b065763f96395ef4c0e1ce1bccaa484,zembed-1,2560
80,art_00081,title_abstract,bbcd6b2bf371bac543f80c3530339b9876f924f505c685a1cfb35c8de974fe30,zembed-1,2560
81,art_00082,title_abstract,be9ae940ecfdc160118096eda6c4be4c512bd8facf4b62f500f6eb442f137af3,zembed-1,2560
82,art_00083,title_abstract,1a280f43107b228e9db916a9988c45311b59e6a6818318b18f535c84faaff32e,zembed-1,2560
83,art_00084,title_abstract,b1c692df1ae3336a8b5de94a06baecd20a45639fd4b1f86d6c3f7d9d1ea0e26d,zembed-1,2560
84,art_00085,title_abstract,6403f728d58f6e8f7792b779deaf1fa54d192b25d0dc97ee2d0f922dac94e697,zembed-1,2560
85,art_00086,title_only,4dfdeb333f4c56e8405a1eb82df65638223102d43d2c5abdfe5bbe463282cdcd,zembed-1,2560
86,art_00087,title_abstract,936ea68ef31323061d5e8817c6885f7fe4dbc3ad498a5bfdac4044246d6afc3d,zembed-1,2560
87,art_00088,title_abstract,961236f7e54e0977e6cf955bc6294c56f5bb9ea01c702e2277d1613640e2f783,zembed-1,2560
88,art_00089,title_only,07b465b9777caad4b8d9501780c7749ce4408106be5653bce4168c7f0b662848,zembed-1,2560
89,art_00090,title_abstract,e814033f807055a41a0ec1c1b1b31ec3f3c748f5d4e5c15a0375ab1779c3df58,zembed-1,2560
90,art_00091,title_abstract,6b566e4fd949def91ff1f509d8f37fec8cfaac81b0215b911fbdc14e1bda9359,zembed-1,2560
91,art_00092,title_only,66b491d9fa5e57cd97608064678e75fbec33cf316d983fc5f7de08e840afe2c3,zembed-1,2560
92,art_00093,title_abstract,d6e1e6dd56565dfcc6e35b5420c687d4f86dfae83a2026feeca6c47b7ddb29f9,zembed-1,2560
93,art_00094,title_abstract,b3767fee43f142dc421ed429da304d1b3282c6d7c697d24cea79d37332ef4673,zembed-1,2560
94,art_00095,title_abstract,0c9e7cddcb65028dab8fd0a4873557ba8060f32af6fd552d0d0fbc6aaba35907,zembed-1,2560
95,art_00096,title_abstract,c9098a0b3a6017c59f9179261ac16c5ac84cf30a320e5f14e38aaff19b14b23f,zembed-1,2560
96,art_00097,title_abstract,c37c4fa530ced91b0293a58c7b0dbd1119e9c4e85a9d07b5077aa3acafc67308,zembed-1,2560
97,art_00098,title_abstract,c6c75fd5f31bff73bed8b6b7b5a53769ac8c6fb99b7ffdf61fcc51c35a9c402b,zembed-1,2560
98,art_00099,title_abstract,e1081ef8f640141a8e717158135e3cd61976190b75ad866707474d2466433abf,zembed-1,2560
99,art_00100,title_only,f7258a14d7fab634df78555e2c770d40d36f8ce8aeeef462aaef9a891b2b1c22,zembed-1,2560
100,art_00101,title_abstract,09145ae0db5b633e86ad8d4aa56d763eaaa590b05d2a1118a5e70bc5905dc296,zembed-1,2560
101,art_00102,title_abstract,eeb74e405ad5c91a054bb5da10575431036f54e86c12fe31eda89dfdd516fdcb,zembed-1,2560
102,art_00103,title_only,1893106f39222527092b878819974cbd4333067050df800d794213400037e061,zembed-1,2560
103,art_00104,title_abstract,8ab080fe29a3fe49124e034a49e257ffa86ac8299bad6ab7832161ead6f9e0a2,zembed-1,2560
104,art_00105,title_abstract,d84a8cf63d4668ff89b737adddf1f7e190bebfa39ed3ae706a64d7edaeaf1d2f,zembed-1,2560
105,art_00106,title_abstract,2a085f1d7e6ff2794fe99c2607cdcd060f0a426f5ed4c1904343cf976cf12eea,zembed-1,2560
106,art_00107,title_only,6caf89e9e3bb4405f9e0a11124c4e9f93f1886027568870bcca446deac296707,zembed-1,2560
107,art_00108,title_abstract,c17bdb3d45d3a243c78b2612e13a0d335fe07673ba5af059cbec08e0b94e7c8b,zembed-1,2560
108,art_00109,title_abstract,83463344fd219a071a0cd373ec3983c7e38ffee153524a1d35cfbbc1f6507fe4,zembed-1,2560
109,art_00110,title_only,02905613f1cc47df672d90bbe43af25a8387dbc0a6e928696bb9bee8dbd58c23,zembed-1,2560
110,art_00111,title_abstract,73fd0c0526c12ace7ca55a7c3a65b3c890a8bf1ffa2dbc91a0053ac3edca2912,zembed-1,2560
111,art_00112,title_only,443979d5d81e2ca08e72c5b6f87ebccc17b050e99df42187b61287c4ffa76dde,zembed-1,2560
112,art_00113,title_abstract,bf65e42dcca78c2207d5b2867ac31e7925f0fd11b67109c3e11051c0219da932,zembed-1,2560
113,art_00114,title_only,91b7b88948239b80eb3d0830251e47bb1423c8e61d459e437dc2952ab673bac4,zembed-1,2560
114,art_00115,title_abstract,15bba66591ddc77dba662f77c85b0043fc5906c67542cb9389927376db59c9c7,zembed-1,2560
115,art_00116,title_only,7e51958e4c82bf2ef1d6c477ebe49e0ca949785e0b1a8c1f438753cab5cc189a,zembed-1,2560
116,art_00117,title_abstract,fae0a85c4930b2d6f1afbf93ef36b2a1498ac96faf671be10c8d7cc3c33a7193,zembed-1,2560
117,art_00118,title_abstract,6fcf0123e760faaad99d6f51fa4f2a04588630693b1566df93637c3c38c9586d,zembed-1,2560
118,art_00119,title_only,d8d7c1a4ddbcf402f049036200efa4142972eade0c9a14d3952f314a2a354716,zembed-1,2560
119,art_00120,title_abstract,4eb691731e151faf1d1bde8f8f6a0aaf9722868b86756a44b5666528a64438fd,zembed-1,2560
120,art_00121,title_abstract,05d2694c97f2ef1882b1084a136575900f34eeeddaecd1a4c9b84c1830280005,zembed-1,2560
121,art_00122,title_only,cf0da51e6cd2b1fbf33ecf21120942b5b1ad01e77b20f503f462b01e4fe673dc,zembed-1,2560
122,art_00123,title_abstract,e9e6c0502b600c89a8dda630eaab0456922becdbc1f76c51307d9fa4c7991c58,zembed-1,2560
123,art_00124,title_abstract,9a8599e38795b8ce41a2e741260f3737867cab9ecf5d4ce943bda34afaa5f01e,zembed-1,2560
124,art_00125,title_abstract,b5e172e473c7b143645f9287d20bdf3d24e45c1cd3b8291dfc9335fad4266462,zembed-1,2560
125,art_00126,title_abstract,0ee46be355737aabd9e7808befe808fe539eae2a3c7c2d93a8ea761a0ce2e268,zembed-1,2560
126,art_00127,title_abstract,cff15a8f5894b7c2d0d28f633d3bed7b8652b0751df0f16d49648fad82a9b934,zembed-1,2560
127,art_00128,title_only,1086ee4e6cb33d4a3c3c349980c74ab3258519e846bfd56e2f3aad0f8d82bf3e,zembed-1,2560
128,art_00129,title_abstract,80e01813438fd7633f5a5551b24464228125ef30e41c3e59b7d98effc47dbb6c,zembed-1,2560
129,art_00130,title_abstract,dc36efdf61f5f7a3e8806991d09f689b4fd9b2871b1512923bc4dff24bb76898,zembed-1,2560
130,art_00131,title_abstract,0521042967dcae87b992b34990342bc05d321860986dfed9abde26ca99f0a168,zembed-1,2560
131,art_00132,title_abstract,1bf8339e75aa94d1caa01da49e926c8a38d9d98019d8d00dd269566f2a766f9d,zembed-1,2560
132,art_00133,title_only,5953cca69d78b3584b063ce96bd9bbc9f6723ae8d0e65056532387e3752e8b49,zembed-1,2560
133,art_00134,title_abstract,c5f76840c3a6a4aab2f306913273b89bf148ad783f3928010b40a415eaa9de2a,zembed-1,2560
134,art_00135,title_abstract,759ddf4d69390d51354df8f0d56bb6db47718ee6310260f5ba78110e3f4a03a2,zembed-1,2560
135,art_00136,title_abstract,a3628053f342ccfe9836260ef8d81076d4ef7f221a5457ea3ae812080ff525f3,zembed-1,2560
136,art_00137,title_abstract,5a6c8556548e2c6ba30075a7f64d2a4d533d61db56d65d82137545afd280cb29,zembed-1,2560
137,art_00138,title_abstract,a7b5db3ad7039efd7e037d60aff68235a6d5debcfb10ea11fdda2894efff69cb,zembed-1,2560
138,art_00139,title_abstract,446ddb2e7bf40a3369d2cc39bed3e255b68dbe43e3cfefbaf51d7e3d4eee2694,zembed-1,2560
139,art_00140,title_only,edc67444a44802c51bb561867184893c4da8e70f840096b325d6ea7a5d3ef283,zembed-1,2560
140,art_00141,title_only,fb29d9e2cdd03cf32ddaf31e23f89ac30e9b2b6ebbfdf3755cdc0c61b1d4bc65,zembed-1,2560
141,art_00142,title_abstract,768d00e15c5bbbc85ede01bc752c0c3942637cacc16d5ef136c4e3f76daa4bac,zembed-1,2560
142,art_00143,title_only,ca576e2d4daeff1fe5a1c063b12bdc0b5212d1cbd4ee0c0231ae8b4e0a377aee,zembed-1,2560
143,art_00144,title_abstract,5f8b35c452fc9854c080a2771e1e80db43c8b2a69d9efdad2f77f1225b7355a8,zembed-1,2560
144,art_00145,title_only,ae1a7a65defe9cb27e2a42b729eba7ff29fbb2f8ac3ba40fd2eb7942565d7ca1,zembed-1,2560
145,art_00146,title_only,f730d0f287c9839b0598419745c9f969c178ea9fb410775708169fc8b98457d3,zembed-1,2560
146,art_00147,title_only,689b9dda3952ec69eeb612f6aa5792b137097caf372ce01a5d6d5a1b1918d29d,zembed-1,2560
147,art_00148,title_abstract,657c410bede99e488a357391197c8858d4a7645e38c50c80ef004a37e80fd2ff,zembed-1,2560
148,art_00149,title_abstract,f47dbdc27b183ee56dc37d063db641cbe26171be8937676598b3f945a57c6944,zembed-1,2560
149,art_00150,title_only,62b9124ac3afe8532b6f57172167a27771d86f76e0ab5e6ad8cbcf6ec851e2ec,zembed-1,2560
150,art_00151,title_abstract,70f67ab14a098b28a33ac644ec4d21ea3bc928bcebc0146511d34f3ec6a4079b,zembed-1,2560
151,art_00152,title_abstract,a8c3f002ad2c3e6d4c9bb68b228b96cd5c598050cde002c1b7be0a5ee919c139,zembed-1,2560
152,art_00153,title_abstract,93482907881a5675811aca037ac0626fb2fbc2339d4989605e19462c57dc40d3,zembed-1,2560
153,art_00154,title_abstract,ae2bf9fbc455144743dd627b0aa1a073bf21e837c2ab5c635bfb2049512cb482,zembed-1,2560
154,art_00155,title_abstract,b02ede10ece46e3ffb1a03ac81ea47b7a67da0c71b3b0dab8a46e8ffe83aff5d,zembed-1,2560
155,art_00156,title_only,3b92a1a58acce7d386d2aa94d41e663ec6d17da5cc3e66def7968615d0184dba,zembed-1,2560
156,art_00157,title_only,35949929c6cdb8c56e35317b7b2422a331e7feff3135794169bb25edf3b3b6cc,zembed-1,2560
157,art_00158,title_abstract,d4957b260ffb49bb5ab97ecabe5cb5a6767959fbb8e72e8633dc30d2ae70bea2,zembed-1,2560
158,art_00159,title_only,87886e860e9a3a5016bb0d2eaae0aa38e70f98d10ffa0f259afc3dccd911013e,zembed-1,2560
159,art_00160,title_abstract,9534b705a0131b731045854ced5ce67d3b7478961e556a5392a6b96c6e48dd67,zembed-1,2560
160,art_00161,title_abstract,f8dcf53b651e9941fee82bbbea5a2ce76cc14e1fe66393cfe12dc32e66cf38b3,zembed-1,2560
161,art_00162,title_only,e46109a1c9017a3fa6704357b116517fbe5dfc5a0e96b2d6d448dabbc7d86f74,zembed-1,2560
162,art_00163,title_abstract,bc4a035b15faf20d51d5d8a52dfe096cd8eba3b44f51abf716fe7e776f689ccd,zembed-1,2560
163,art_00164,title_abstract,82ca384fbba55f8349de2ee67ce135e97bdcbf0a39d463fa32a3fac18aba6000,zembed-1,2560
164,art_00165,title_abstract,b202b2c321bd069e58d441de8c61d81b5b9e3f3f25d8d91ddfb65b9a4ddda09a,zembed-1,2560
165,art_00166,title_abstract,3b211f18e0aefd2f7bf44ad6315302812ef06746edb154a4323881460b537250,zembed-1,2560
166,art_00167,title_only,919a88b108efd28422a51fd771995cb1877a3f47f9cbde504dbef1a556e01edd,zembed-1,2560
167,art_00168,title_abstract,328d7e8ea3e2b96c306495065e78f40decd84bb782373da192859305313bf7f0,zembed-1,2560
168,art_00169,title_abstract,e8772bcae0db898b4d6a0da40d809b454aa4c17d9ec0f15475462ae4297b6ebb,zembed-1,2560
169,art_00170,title_abstract,06e2caeb29c47795ec4f0b2bdfb6dbb11450b636fbfcce832d554ef59bc0177a,zembed-1,2560
170,art_00171,title_abstract,b027a9242aac8596a053c6d2247e99c24fec3df3158e9d0f406fe3420424125e,zembed-1,2560
171,art_00172,title_abstract,74777f7e0407012653bc3ce90e2141d3af7de1debeba560fba76ba86b54fa384,zembed-1,2560
172,art_00173,title_abstract,07cfd3e5383504b72043d3a410e52e8ec8a1c1ad3141969610d79da8a08da773,zembed-1,2560
173,art_00174,title_abstract,e2c078733d0250a04460644a2bce4b72b0cc87e02030f572ac8ab0afb51f80a8,zembed-1,2560
174,art_00175,title_only,7d87b68a1664e6ec7894b6b671f6037412786870cd4614fd26ea47483fff4839,zembed-1,2560
175,art_00176,title_abstract,2f99b9c2fd56a18986fe0c8df2e1d56cd8f62b57d099954395ccff4acfd13bce,zembed-1,2560
176,art_00177,title_abstract,5d2ca0f2b5234614264d3c7cf6a8c5fbd5ee720bde3e6df79ec426f0579755ab,zembed-1,2560
177,art_00178,title_abstract,6452d33ecfb08f9c71f43a34886a9e8461c24f9753ad056ed2c1ae80d5b58a6a,zembed-1,2560
178,art_00179,title_abstract,819b371a4ef2ca584646aac0aff242859541591fbf63b26e5f95a30e757ddce8,zembed-1,2560
179,art_00180,title_abstract,17b45f71f40c78b1fe3705d4296c28f78b497d197eacd67f4bfa728a8b099b70,zembed-1,2560
180,art_00181,title_only,8f1594dfde6742e0cd1bc16651e998f046aa2a9565a4a5544e4ca4f41101f12b,zembed-1,2560
181,art_00182,title_abstract,427b2e34036e501dd20a16993a39d60c05a55ee4c8b6c9d0f03e442b9b62bec4,zembed-1,2560
182,art_00183,title_abstract,6df3f0df87d896fe71ce11384f54792d3b8a81e0504a1e4b57c332f5c98e6734,zembed-1,2560
183,art_00184,title_abstract,f30c4c579f2f9b5e79d7c3ad43433253c9479487855574336b6c268cf7a29a75,zembed-1,2560
184,art_00185,title_abstract,24f49324e751bd3837ac30672efe9e337af58086cc762f89375f48f733ed0a53,zembed-1,2560
185,art_00186,title_abstract,6ce16b1a76a7d881f8fc18c359318a635a5a2730c86f9a489a42416453d41ded,zembed-1,2560
186,art_00187,title_abstract,427a122228dc6dfff92ade16cd3e6d578b1d37f248b51c061e74105a78f76291,zembed-1,2560
187,art_00188,title_abstract,fa81fea049199a0c0d649fe0d1937a43e3fe6d405ea35e22aa17e0a20f29122d,zembed-1,2560
188,art_00189,title_abstract,32b375ba32ade32dd510f46f1f437bc140b69c1268912148fb99addf89f119eb,zembed-1,2560
189,art_00190,title_abstract,bd5ea5bc1e95724a42911e86e133b470c359ac348c1c1d90052c8e8fd44eb0d8,zembed-1,2560
190,art_00191,title_only,294d1ec08d68ee18d47a8552f574a026d0302390437e28b1ff9eb579dcbf2b59,zembed-1,2560
191,art_00192,title_only,ae7ad3d67d8e4fc003b7845b07c00d528184fac02378a8777694fe78cbe9a5e8,zembed-1,2560
192,art_00193,title_abstract,96b308ab8d39b4fdb1ea2da0743fbf59d1724a296d2afd08eba260d7a16b57fe,zembed-1,2560
193,art_00194,title_abstract,0f21c296145cfb50df7f426017e0ff527ce737a8ccb0bf37d0a2c682d4f52d9b,zembed-1,2560
194,art_00195,title_abstract,9f5046bac9a61371b69cb559261df73531c18d7d61549edd0415779c75207f09,zembed-1,2560
195,art_00196,title_only,53572b49acfa9415c94c85cf96c75024679467c2bfe63677d33fdc4354485a27,zembed-1,2560
196,art_00197,title_abstract,d4302560511791c332bc172e1afef7b0cb727d3581b9b85275499f83760198ce,zembed-1,2560
197,art_00198,title_only,5edc1f6d5be23baf6267794c9d28b8cf3499c14229191e22c855c2ef43e6c39d,zembed-1,2560
198,art_00199,title_abstract,fb5a034edd7b9b822c1f8ab65d30b2c409abf988b07d86cc4dc361bacec7cc6c,zembed-1,2560
199,art_00200,title_only,2f73fc5086fbaafc39089cbbdde243f7464807a23263b270c2e3414e297978e0,zembed-1,2560
200,art_00201,title_abstract,9f9c8e49a5996b42bb117cf892e8be3bdf9d04e0a63959dc4688b919e8abf41a,zembed-1,2560
201,art_00202,title_abstract,05b9c506d5a42bda4e6cb422e7f043887c59dfbdb7c3ca60e334bce61e3c894d,zembed-1,2560
202,art_00203,title_only,edc7ccc2730a9c7d3ea2953f4853ad53a9cb7d14949d1b631783454034618a1e,zembed-1,2560
203,art_00204,title_abstract,4e0c970787e8f75701ac4653336fba751ead92a78f1b9a4c8bef34c1ecc95ea2,zembed-1,2560
