article_id,titre,annee,x,y,cluster,cluster_label,chercheurs,laboratoire
art_00001,"10α-Hydroxy-13-{[4-(2-hydroxyphenyl)piperazin-1-yl]methyl}-4,9-dimethyl-3,8,15-trioxatetracyclo[10.3.0.02,4.07,9]pentadecan-14-one",2012,5.1116266,-2.0826375,5,"C5 · molecular, corrosion, experimental",Mohamed Moumou,Laboratoire de Chimie Analytique et Moléculaire
art_00002,"10α-Hydroxy-4,9-dimethyl-13-(morpholin-4-ylmethyl)-3,8,15-trioxatetracyclo[10.3.0.02,4.07,9]pentadecan-14-one",2011,5.229936,-2.1054077,5,"C5 · molecular, corrosion, experimental",Mohamed Moumou,Laboratoire de Chimie Analytique et Moléculaire
art_00003,100 myr cycles of oceanic lithosphere generation in peri-Gondwana: Neoproterozoic–Devonian ophiolites from the NW African–Iberian margin of Gondwana and the Variscan Orogen,2020,-0.3320639,2.8096633,7,"C7 · phosphate, properties, po4",Faouziya Haissen,"Géosciences, Géomatique et Environnement"
art_00004,"12-Anilinomethyl-9α-hydroxy-4,8-dimethyl-3,14-dioxatricyclo[9.3.0.02,4]tetradec-7-en-13-one",2011,5.2409344,-2.0954046,5,"C5 · molecular, corrosion, experimental",Mohamed Moumou,Laboratoire de Chimie Analytique et Moléculaire
art_00005,"(1S,2R,3R,8R,10S)-3-Chloro-2,8-dihydroxy-3,7-dimethyl-11-methylidene-13-oxabicyclo[8.3.0]tridec-6-en-12-one",2011,5.251503,-2.072158,5,"C5 · molecular, corrosion, experimental",Mohamed Moumou,Laboratoire de Chimie Analytique et Moléculaire
art_00006,"2,3-Quinoxalinedione as a novel corrosion inhibitor for mild steel in 1M HCl",2007,3.654886,-2.2087638,4,"C4 · properties, synthesis, numerical",Mohammed Berrada,Laboratoire Biologie et Santé
art_00007,"2.46Ga kalsilite and nepheline syenites from the Awsard pluton, Reguibat Rise of the West African Craton, Morocco. Generation of extremely K-rich magmas at the Archean–Proterozoic transition",2012,-0.5259253,2.4430134,0,"C0 · morocco, atlas, basin",Faouziya Haissen,"Géosciences, Géomatique et Environnement"
art_00008,2-((E)-{[3-(1H-Imidazol-1-yl)propyl]imino}methyl)-4-[(E)-(2-methylphenyl)diazenyl]phenol,2017,4.5106335,-2.0058663,5,"C5 · molecular, corrosion, experimental",Siham Slassi,Laboratoire d’Ingénierie et de Matériaux
art_00009,2-((E)-{[3-(1H-Imidazol-1-yl)propyl]imino}methyl)-4-[(E)-(4-methylphenyl)diazenyl]phenol,2019,5.0320134,-2.1195936,2,"C2 · model, control, data",Siham Slassi,Laboratoire d’Ingénierie et de Matériaux
art_00010,2D‐QSAR and molecular docking studies of carbamate derivatives to discover novel potent anti‐butyrylcholinesterase agents for Alzheimer's disease treatment,2021,4.3853755,-2.5415611,5,"C5 · molecular, corrosion, experimental",Samir Chtita,Laboratoire de Chimie Analytique et Moléculaire
art_00011,"3D-QSAR, ADME-Tox, and molecular docking of semisynthetic triterpene derivatives as antibacterial and insecticide agents",2022,-0.5716523,1.0666536,7,"C7 · phosphate, properties, po4",Samir Chtita,Laboratoire de Chimie Analytique et Moléculaire
art_00012,"3D Virtual Visit of the Paleontological Site of Anchrif (Middle Atlas, Morocco): A New Perspective for the Enhancement of Geoheritage",2023,-0.7848989,1.042154,7,"C7 · phosphate, properties, po4",Mostafa Oukassou,"Géosciences, Géomatique et Environnement"
art_00013,"5,8-Dimethyl-3-methylene-2-oxo-3,3a,4,5,5a,6,8a,8b-octahydro-2H-1-oxa-s-indacene-5-carbaldehyde",2011,4.6784406,-2.1011286,5,"C5 · molecular, corrosion, experimental",Mohamed Moumou,Laboratoire de Chimie Analytique et Moléculaire
art_00014,"5,9-Dihydroxy-9-methyl-3,6-dimethylene-3a,4,5,6,6a,7,8,9,9a,9b-decahydroazuleno[4,5-b]furan-2(3H)-one",2011,5.2416897,-2.090242,5,"C5 · molecular, corrosion, experimental",Mohamed Moumou,Laboratoire de Chimie Analytique et Moléculaire
art_00015,77 GHz mm-Wave Linear Array Antenna Shape for Automotive Radars Domain,2025,-0.22502565,-2.9213364,4,"C4 · properties, synthesis, numerical",Abdellatif Slimani,Laboratoire de Traitement de l'Information
art_00016,"9β-Hydroxy-1β,10α-epoxyparthenolide",2010,5.2684307,-2.0574193,5,"C5 · molecular, corrosion, experimental",Mohamed Moumou,Laboratoire de Chimie Analytique et Moléculaire
art_00017,"9α-Hydroxy-12-{[4-(4-methoxyphenyl)piperazin-1-yl]methyl}-4,8-dimethyl-3,14-dioxatricyclo[9.3.0.02,4]tetradec-7-en-13-one",2012,5.1825523,-2.1014664,5,"C5 · molecular, corrosion, experimental",Mohamed Moumou,Laboratoire de Chimie Analytique et Moléculaire
art_00018,"9-Hydroxy-4,8-dimethyl-12-(piperidin-1-ylmethyl)-3,14-dioxatricyclo[9.3.0.02,4]tetradec-7-en-13-one",2011,5.163607,-2.0987554,5,"C5 · molecular, corrosion, experimental",Mohamed Moumou,Laboratoire de Chimie Analytique et Moléculaire
art_00019,"9β-Hydroxy-6,9-dimethyl-3-methylene-3a,4,8,9,9a,9b-hexahydroazuleno[4,5-b]furan-2(3H)-one",2012,5.2195773,-2.0705924,5,"C5 · molecular, corrosion, experimental",Mohamed Moumou,Laboratoire de Chimie Analytique et Moléculaire
art_00020,A 2D mechanical–thermal coupled model to simulate material mixing observed in friction stir welding process,2017,2.2942832,-1.9116681,4,"C4 · properties, synthesis, numerical",Bouazza Braikat,Laboratoire de Physique de la Matière Condensée
art_00021,A 3D micromechanical model for hyperelastic rubber-like materials and its numerical resolution by the Asymptotic Numerical Method (ANM),2025,1.7135074,-4.6900487,2,"C2 · model, control, data",Abdellah Hamdaoui,Laboratoire de Physique de la Matière Condensée
art_00022,A Big Data Hadoop building blocks comparative study,2017,-1.6360974,-3.813719,7,"C7 · phosphate, properties, po4",Abdessamad Belangour,Laboratoire d’Intelligence Artificielle et Systèmes
art_00023,A Big Data Security Layer Meta-Model Proposition,2019,-2.3507516,-2.414567,2,"C2 · model, control, data",Abdessamad Belangour,Laboratoire d’Intelligence Artificielle et Systèmes
art_00024,A Big Data visualization layer meta-model proposition,2019,-2.4198933,-2.5472803,2,"C2 · model, control, data",Abdessamad Belangour,Laboratoire d’Intelligence Artificielle et Systèmes
art_00025,A bioeconomic model applied to a small pelagic species along the Moroccan coast,2021,1.1925567,-3.5118234,2,"C2 · model, control, data",Imane Agmour,"Laboratoire d'Analyse, Modélisation et Simulation"
art_00026,A Blockchain-based Method Ensuring Integrity of Shared Data in a Distributed-Control Intersection Network,2023,-2.5047777,-2.7582407,3,"C3 · learning, data, detection",Mohamed Ghazouani,Technologie de l'Information et Modélisation
art_00027,A Brief Survey on Internet of Things (IoT),2021,0.29582193,-2.255512,4,"C4 · properties, synthesis, numerical",Elhabib Benlahmar,Technologie de l'Information et Modélisation
art_00028,"A combined computational and experimental study on the mild steel corrosion inhibition in hydrochloric acid by new multifunctional phosphonic acid containing 1,2,3-triazoles",2020,4.147359,-3.164746,5,"C5 · molecular, corrosion, experimental",Aziz Boutouil,Laboratoire de Chimie Physique des Matériaux Appliqués
